local_bsz,num_nodes,num_replicas,step_time,sync_time
6,8,32,0.9871238473994994,0.585434572543487
8,8,32,0.9952315253784357,0.5820949450154659
4,8,36,1.0674108050319675,0.6771688356829124
6,8,36,1.0751911008058586,0.6735018259498461
8,8,36,1.0830357604121523,0.6698991800491825
4,8,40,1.1566900663786959,0.7664480970296408
6,8,40,1.16423274966264,0.7625434748066274
8,8,40,1.1718400729412406,0.7587034925782707
4,8,44,1.2467397987754767,0.8564978294264216
6,8,44,1.2540671648531627,0.8523778899971503
8,8,44,1.2614591545440788,0.8483225741811089
4,8,48,1.3374254812425743,0.9471835118935192
6,8,48,1.3445566849344557,0.9428674100784432
8,8,48,1.351752292157932,0.9386157117949621
4,8,52,1.4286432715336401,1.038401302184585
6,8,52,1.4355948731440644,1.0339055982880518
8,8,52,1.4426105166062595,1.0294739362432896
4,8,56,1.5203115913944452,1.13006962204539
6,8,56,1.527097998475309,1.1254087236192967
8,8,56,1.533947988000666,1.120811407637696
4,8,60,1.612365361143631,1.222123391794576
6,8,60,1.6189991850463648,1.2173099101903522
8,8,60,1.6256960655433197,1.2125594851803498
4,8,64,1.7047519540714158,1.3145099847223607
6,8,64,1.7112442982357932,1.3095550233797808
8,8,64,1.7177991291887167,1.3046625488257468
4,9,9,0.5107149288427579,0.12047295949370285
6,9,9,0.5210455490709717,0.1193562742149592
8,9,9,0.531410858205245,0.11827427784227518
4,9,13,0.5836145117129877,0.19337254236393264
6,9,13,0.5934303683741671,0.1917410935181546
8,9,13,0.603291731232535,0.19015515086956514
4,9,17,0.6617357886435266,0.2714938192944715
6,9,17,0.6710895197557453,0.2694002448997328
8,9,17,0.6804961055626749,0.2673595251997051
4,9,21,0.7433881812253209,0.3531462118762658
6,9,21,0.7523326776607578,0.3506434028047454
8,9,21,0.7613348741736146,0.3481982938106447
4,9,25,0.8275581805494406,0.43731621120038555
6,9,25,0.8361408402717965,0.434451565415784
8,9,25,0.844784318295495,0.4316477379325252
4,9,29,0.9135955508665291,0.523353581517474
6,9,29,0.9218572140904654,0.5201679392344529
8,9,29,0.9301816345315809,0.517045054168611
4,9,33,1.0010618288996032,0.6108198595505481
6,9,33,1.0090372272488848,0.6073479523928723
8,9,33,1.017076515001485,0.6039399346385153
4,9,37,1.0896495563926851,0.69940758704363
6,9,37,1.0973681632383347,0.6956788883823223
8,9,37,1.1051512365776524,0.6920146562146825
4,9,41,1.1791361467106727,0.7888941773616176
6,9,41,1.1866230436063467,0.7849337687503343
8,9,41,1.1941745997975393,0.7810380194345694
4,9,45,1.2693561033475311,0.879114133998476
6,9,45,1.2766327428732416,0.8749434680172291
8,9,45,1.2839739672837913,0.8708373869208215
4,9,49,1.36018355904382,0.969941589694765
6,9,49,1.367268400608115,0.9655791257521026
8,9,49,1.374417566585118,0.9612809862221481
4,9,53,1.4515209024538756,1.0612789331048205
6,9,53,1.458429930401357,1.0567406555453447
8,9,53,1.4654028931080008,1.052266312745031
4,9,57,1.5432911408368073,1.1530491714877522
6,9,57,1.550038283176855,1.1483490083208427
8,9,57,1.5568488817223771,1.1437123013594073
4,9,61,1.635432634438021,1.245190665088966
6,9,61,1.6420301008526876,1.2403408259966753
8,9,61,1.6486904848051847,1.2355539044422148
4,9,65,1.7278953812065756,1.3376534118575205
6,9,65,1.7343539365799463,1.3326646617239337
8,9,65,1.7408748314374778,1.327738251074508
4,9,69,1.8206383413118543,1.4303963719627992
6,9,69,1.8269675280683577,1.4252782532123454
8,9,69,1.833358451883141,1.420221871520171
4,10,10,0.5283160017453249,0.1380740323962698
6,10,10,0.5385135165430036,0.13682424168699114
8,10,10,0.5487488015680482,0.13561222120507832
4,10,14,0.6027375131297715,0.21249554378071644
6,10,14,0.6124327168859947,0.2107434420299822
8,10,14,0.6221755499663213,0.20903896960335144
4,10,18,0.6818657347333332,0.29162376538427814
6,10,18,0.6911123687274239,0.2894230938714114
8,10,18,0.7004132689211798,0.28727668855821
4,10,22,0.7642247437344131,0.373982774385358
6,10,22,0.7730745932382377,0.3713853183822252
8,10,22,0.781983059328238,0.3688464789652681
4,10,26,0.848912415106658,0.45867044575760296
6,10,26,0.857411248495716,0.45572197363970357
8,10,26,0.8659714783879722,0.4528348980250023
4,10,30,0.9353419681021317,0.5450999987530766
6,10,30,0.9435290297987406,0.5418397549427282
8,10,30,0.951779195854769,0.5386426154917991
4,10,34,1.0231135089879422,0.6328715396388871
6,10,34,1.0310221320890165,0.629332857233004
8,10,34,1.0389948331009036,0.6258582527379337
4,10,38,1.1119442141835139,0.7217022448344588
6,10,38,1.119602695963678,0.7179134211076655
8,10,38,1.1273257231372478,0.7141891427742779
4,10,42,1.2016278726602618,0.8113859033112067
6,10,42,1.2090603208574717,0.8073710460014593
8,10,42,1.2165574311218552,0.8034208507588854
4,10,46,1.2920102409430132,0.9017682715939581
6,10,46,1.2992373051124377,0.8975480302564253
8,10,46,1.306528903925507,0.8933923235625372
4,10,50,1.3829734056182594,0.9927314362692043
6,10,50,1.390012882044115,0.9883236071881026
8,10,50,1.3971165957694065,0.9839800154064366
