local_bsz,step_time,sync_time,placement,num_nodes,num_replicas
4,0.2921961992979049,0.001264384008944,1,1,1
6,0.3288393020629883,0.0011077120006084,1,1,1
8,0.2990892678499222,0.0012337919995188,1,1,1
4,0.2587746381759643,0.0414884485378861,11,2,2
6,0.3679575026035309,0.0346968322619795,11,2,2
8,0.2628093212842941,0.0087733119577169,11,2,2
4,0.3447598367929458,0.0967941130846739,12,2,3
6,0.6230935305356979,0.2799575681686401,12,2,3
8,0.3734495192766189,0.0983470072299241,12,2,3
4,0.4121384024620056,0.1618556787371635,13,2,4
6,0.7732052356004715,0.4653924465179443,13,2,4
8,0.4040450900793075,0.1306405780017376,13,2,4
4,0.4370530694723129,0.1817399689704179,14,2,5
6,0.792111799120903,0.5182286033630371,14,2,5
8,0.4201457947492599,0.1568125438690185,14,2,5
4,0.4499157816171646,0.1777796488851308,15,2,6
6,0.7928295433521271,0.4816318016052246,15,2,6
8,0.4649166762828827,0.1956820477843284,15,2,6
4,0.4553376585245132,0.2251201920509338,16,2,7
6,0.8086037933826447,0.5160979871749878,16,2,7
8,0.4639044553041458,0.1934554233551025,16,2,7
4,0.468285784125328,0.1652307200282811,17,2,8
6,0.8229794353246689,0.5389523830413817,17,2,8
8,0.4642138630151748,0.2045142397880554,17,2,8
4,0.4643390476703644,0.178100992321968,18,2,9
6,0.8390481323003769,0.540219012260437,18,2,9
8,0.4903787225484848,0.1699721615612507,18,2,9
4,0.3105779886245727,0.0058883842080831,2,1,2
6,0.5172796696424484,0.0421024638935923,2,1,2
8,0.3138537108898163,0.0505180158093571,2,1,2
4,0.3816365152597427,0.0860881931483745,22,2,4
6,0.6102551966905594,0.0474928646385669,22,2,4
8,0.3728291541337967,0.0395128319486975,22,2,4
4,0.4056262671947479,0.0813498873412609,23,2,5
6,0.7713766545057297,0.3128246374130249,23,2,5
8,0.4267785996198654,0.096774975426495,23,2,5
4,0.4544964432716369,0.1709507205486297,24,2,6
6,0.8059392273426056,0.2656749426722526,24,2,6
8,0.4507509469985962,0.1364447991997003,24,2,6
4,0.4628361612558365,0.2039512288570404,25,2,7
6,0.7998515516519547,0.364755389213562,25,2,7
8,0.4481186717748642,0.1314770573973656,25,2,7
4,0.468561053276062,0.183939200438559,26,2,8
6,0.8134404122829437,0.3701968643665314,26,2,8
8,0.4558998793363571,0.1722361607551574,26,2,8
4,0.4741223305463791,0.155170814037323,27,2,9
6,0.817166730761528,0.2899729939475655,27,2,9
8,0.4767940044403076,0.1124607354104518,27,2,9
4,0.4935943633317947,0.1616365439891815,28,2,10
6,0.8398785293102264,0.3469203214645385,28,2,10
8,0.4826940447092056,0.1161096962019801,28,2,10
4,0.3683775663375854,0.0539471989646554,3,1,3
6,0.7676980495452881,0.0213397114798426,3,1,3
8,0.3605563789606094,0.0148766719028353,3,1,3
4,0.4371849745512008,0.1236781441792845,33,2,6
6,0.7927209734916687,0.079465151682496,33,2,6
8,0.4472616165876388,0.0347943039238453,33,2,6
4,0.4412890076637268,0.0549098234996199,34,2,7
6,0.7865957468748093,0.0542493438720703,34,2,7
8,0.4567037373781204,0.0405150082185864,34,2,7
4,0.4507155865430832,0.1206122232154011,35,2,8
6,0.7942766398191452,0.1170264310240745,35,2,8
8,0.4565564841032028,0.0902895992696285,35,2,8
4,0.4621361345052719,0.0483528318703174,36,2,9
6,0.805937334895134,0.1012993905171752,36,2,9
8,0.4844908863306045,0.0732280958890915,36,2,9
4,0.4746636599302292,0.0997774076685309,37,2,10
6,0.8378583043813705,0.1811205143257975,37,2,10
8,0.4833333343267441,0.1165415685847401,37,2,10
4,0.4742216318845749,0.0608821763992309,38,2,11
6,0.8411022424697876,0.1651080332994461,38,2,11
8,0.4846652299165725,0.0528227837607264,38,2,11
4,0.4259117394685745,0.030876543931663,4,1,4
6,0.7873739749193192,0.1533023348897695,4,1,4
8,0.4260104298591614,0.0748212482482195,4,1,4
4,0.4697223007678985,0.0498497276008129,44,2,8
6,0.7858540266752243,0.0756162562966346,44,2,8
8,0.4653949737548828,0.0138349439799785,44,2,8
4,0.4629115760326385,0.0569409922882914,45,2,9
6,0.7983681559562683,0.0422823679670691,45,2,9
8,0.4626825600862503,0.0354913911372423,45,2,9
4,0.4605749398469925,0.0333909124061465,46,2,10
6,0.8133792281150818,0.0665688313171267,46,2,10
8,0.4648745656013489,0.0570315518230199,46,2,10
4,0.469385415315628,0.0688353931680321,47,2,11
6,0.8302240520715714,0.0690263038650154,47,2,11
8,0.4830618798732757,0.0293256317004561,47,2,11
4,0.4874267876148224,0.0587380475550889,48,2,12
6,0.844500407576561,0.0798940155506134,48,2,12
8,0.4957142919301986,0.0335612803697586,48,2,12
4,0.4629936218261719,0.0563637768551707,5,1,5
6,0.7871649116277695,0.0116360320448875,5,1,5
8,0.4532478451728821,0.0421299205720424,5,1,5
4,0.4644796252250671,0.0357404797077178,55,2,10
6,0.8214814215898514,0.1005184656232595,55,2,10
8,0.4709092378616333,0.0384543997049331,55,2,10
4,0.4681813269853592,0.0573688963651657,56,2,11
6,0.8252605050802231,0.0917404162883758,56,2,11
8,0.4833029359579086,0.0666046716570854,56,2,11
4,0.4798625111579895,0.0480225282385945,57,2,12
6,0.8298497200012207,0.0636220159232616,57,2,12
8,0.4836308658123016,0.026546687990427,57,2,12
4,0.480125367641449,0.051476288087666,58,2,13
6,0.8457133173942566,0.0651402251720428,58,2,13
8,0.491117924451828,0.030981951713562,58,2,13
4,0.4679015725851059,0.0300184317082166,6,1,6
6,0.8180869668722153,0.1703559660688042,6,1,6
8,0.4714870154857635,0.0498099840730428,6,1,6
4,0.4731121808290481,0.0528475526645779,66,2,12
6,0.8339268118143082,0.0505934084355831,66,2,12
8,0.4834896773099899,0.0234088957458734,66,2,12
4,0.4802873283624649,0.0286748799234628,67,2,13
6,0.8448572158813477,0.0572551691234111,67,2,13
8,0.4833230376243591,0.0111055999323725,67,2,13
4,0.4747325927019119,0.0542796796560287,68,2,14
6,0.8464907854795456,0.0513182080909609,68,2,14
8,0.5022115707397461,0.0355596801042556,68,2,14
4,0.4760407656431198,0.0304566399902105,7,1,7
6,0.8242632448673248,0.0930190733745694,7,1,7
8,0.4830741882324219,0.0293578877076506,7,1,7
4,0.4674852341413498,0.0327424637526273,77,2,14
6,0.8481312543153763,0.1552063353061676,77,2,14
8,0.4888201206922531,0.0236232319623231,77,2,14
4,0.4868157804012298,0.0461869438886642,78,2,15
6,0.8491517305374146,0.0491036152690649,78,2,15
8,0.4907292425632477,0.0312304637730121,78,2,15
4,0.4881487488746643,0.0487292808815836,8,1,8
6,0.858390286564827,0.0274113280773162,8,1,8
8,0.4948695302009582,0.0462311681509018,8,1,8
4,0.4809866398572922,0.0523238400816917,88,2,16
6,0.8800714313983917,0.0920599667429923,88,2,16
8,0.4961826652288437,0.0327853444218635,88,2,16
