local_bsz,num_nodes,num_replicas,step_time,sync_time
4,2,2,0.7847062168084562,0.3533349401553803
6,2,2,0.81053281450386,0.35307528614169126
8,2,2,0.8363705352234572,0.3528267551521954
4,2,6,0.80949496839934,0.3781236917462641
6,2,6,0.8353080550708815,0.37785052670871266
8,2,6,0.8611326836416352,0.37758890357037345
4,2,10,0.8342982197640498,0.40292694311097393
6,2,10,0.8600981957319076,0.4026406673697388
8,2,10,0.8859101077853798,0.40236632771411807
4,2,14,0.8591146827441177,0.42774340609104183
6,2,14,0.8849019259196018,0.427444397557433
8,2,14,0.9107014767479398,0.427157696676678
4,3,3,0.7909019674964313,0.35953069084335537
6,3,3,0.816725148608245,0.35926762024607617
8,3,3,0.8425595598999691,0.35901577982870736
4,3,7,0.8156944754242197,0.3843231987711438
6,3,7,0.841504247797273,0.38404671943510416
8,3,7,0.8673256628457806,0.38378188277451886
4,3,11,0.8405011432622667,0.40912986660919076
6,3,11,0.8662979014377667,0.40884037307559795
8,3,11,0.892106690635499,0.4085629105642372
4,3,15,0.8653207284382209,0.43394945178514505
6,3,15,0.8911048450098435,0.43364731664767475
8,3,15,0.9169013588128931,0.4333575787416314
4,3,19,0.890152149853036,0.45878087319996014
6,3,19,0.9159239771969249,0.45846644883475607
8,3,19,0.941708547641132,0.45816476756987023
4,3,23,0.9149944603445495,0.48362318369147356
6,3,23,0.9407543321798434,0.4832968038176746
8,3,23,0.9665272742546681,0.48298349418340636
4,4,4,0.797098692023327,0.36572741537025105
6,4,4,0.8229184826916779,0.3654609543295091
8,4,4,0.8487496090466721,0.3652058289754103
4,4,8,0.8218948664894307,0.39052358983635477
6,4,8,0.8477013492134595,0.3902438208512907
8,4,8,0.8735195738810841,0.3899757938098224
4,4,12,0.8467048733105377,0.4153335966574618
6,4,12,0.8724984369723509,0.41504090861018206
8,4,12,0.8983041252104563,0.4147603451391946
4,4,16,0.8715275132468954,0.44015623659381947
6,4,16,0.8973085252305574,0.4398509968683886
8,4,16,0.9231020227538598,0.439558242682598
