local_bsz,num_nodes,num_replicas,step_time,sync_time
4,2,2,0.6180898607176729,0.36621181555379945
6,2,2,0.642828436244019,0.3456076174412803
8,2,2,0.6696865832661216,0.3271229908245179
11,2,2,0.7133565919136723,0.3027788390137708
12,2,2,0.7286995664181473,0.29545042669881316
4,2,6,0.6920486597904068,0.4401706146265333
6,2,6,0.7148889554089974,0.4176681366062588
8,2,6,0.7398079325075002,0.3972443400658965
11,2,6,0.7805669837115587,0.36998923081165724
12,2,6,0.7949517164658393,0.3617025767465052
4,2,10,0.7672580156627173,0.5153799704988439
6,2,10,0.7884850309189511,0.4912642121162124
8,2,10,0.8117317428467486,0.4691681504051449
11,2,10,0.8499352582608501,0.43935750536094864
12,2,10,0.8634670525172222,0.4302179127978881
4,2,14,0.8434045600388821,0.5915265148750086
6,2,14,0.8632469736217309,0.5660261548189922
8,2,14,0.8850420543084161,0.5424784618668124
11,2,14,0.9209954295125063,0.5104176766126048
12,2,14,0.9337677867689734,0.5005186470496393
4,3,3,0.6364401311315553,0.3845620859676818
6,3,3,0.6606737995841871,0.3634529807814485
8,3,3,0.6870193096042325,0.3444557171626288
11,3,3,0.7299254647662474,0.3193477118663459
12,3,3,0.7450184203936152,0.3117692806742811
4,3,7,0.7107480785610603,0.4588700333971868
6,3,7,0.7331607731483841,0.4359399543456455
8,3,7,0.7576386069329203,0.41507501449131656
11,3,7,0.7977274562006746,0.38714970330077314
12,3,7,0.811889525961579,0.37864038624224494
4,3,11,0.7862165915605555,0.534338546396682
6,3,11,0.8070779231902419,0.5098571043875032
8,3,11,0.8299426710026921,0.4873790785610884
11,3,11,0.8675568921034283,0.45697913920352684
12,3,11,0.8808905350136026,0.4476413952942685
4,3,15,0.8625606314243922,0.6106825862605187
6,3,15,0.8820872510458724,0.5848664322431337
8,3,15,0.9035492494363064,0.5609856569947027
11,3,15,0.9389823627495018,0.5284046098496002
12,3,15,0.9515780636991963,0.5183289239798622
4,3,19,0.9395812195958223,0.6877031744319488
6,3,19,0.9579486197523075,0.6607278009495688
8,3,19,0.9781819078955848,0.6356183154539811
11,3,19,1.0116836471254405,0.601105894225539
12,3,19,1.0236202208852785,0.5903710811659444
4,3,23,1.0171354698722295,0.765257424708356
6,3,23,1.0344871806331926,0.7372663618304539
8,3,23,1.0536364938701892,0.7110729014285855
11,3,23,1.085419171346248,0.6748414184463465
12,3,23,1.0967648749438599,0.6635157352245258
4,4,4,0.6548882397856544,0.4030101946217809
6,4,4,0.6786379744871516,0.3814171556844129
8,4,4,0.7044899744032012,0.36192638196159743
11,4,4,0.7466568755382385,0.33607912263833695
12,4,4,0.7615068839712206,0.3282577442518865
4,4,8,0.7295193879494328,0.47764134278555936
6,4,8,0.7515212617249498,0.45430044292221117
8,4,8,0.775573825047654,0.4330102326060503
11,4,8,0.8150138800956183,0.40443612719571675
12,4,8,0.828959697505478,0.39571055778614395
4,4,12,0.8052294801505155,0.5533514349866421
6,4,12,0.8257386112107583,0.5285177924080197
8,4,12,0.8482345013494687,0.5056709089078649
11,4,12,0.8852777450331806,0.47469999213327907
12,4,12,0.8984188896932699,0.4651697499739358
4,4,16,0.881758720222176,0.6298806750583026
6,4,16,0.9009804695737171,0.6037596507709785
8,4,16,0.9221202288466285,0.5795566364050247
11,4,16,0.9570486567999418,0.5464709039000403
12,4,16,0.9694726215940529,0.5362234818747188
4,4,20,0.9589243963536436,0.7070463511897701
6,4,20,0.9770254981589133,0.6798046793561746
8,4,20,0.9969752326683331,0.6544116402267294
11,4,20,1.0300286260719755,0.619450873172074
12,4,20,1.0418114664746283,0.6085623267552942
4,4,24,1.0365944503932842,0.7847164052294108
6,4,24,1.0537116126631474,0.7564907938604087
8,4,24,1.0726096768242506,0.7300460843826468
11,4,24,1.1039919625345178,0.6934142096346163
