local_bsz,step_time,sync_time,placement,num_nodes,num_replicas
4,0.2522909343242645,0.0064343260526657,1,1,1
6,0.3259135037660599,0.0064300940930843,1,1,1
8,0.3678275346755981,0.0064320759773254,1,1,1
11,0.4126834273338318,0.0064317460060119,1,1,1
12,0.4469159990549087,0.0064318160414695,1,1,1
4,0.4397211670875549,0.2087431678771973,11,2,2
6,0.459959402680397,0.1810492668151855,11,2,2
8,0.4933316111564636,0.1600021991729736,11,2,2
11,0.5122357457876205,0.1129376592636108,11,2,2
12,0.5289897471666336,0.1010144600868225,11,2,2
4,0.6310197561979294,0.3683014335632324,12,2,3
6,0.6170805096626282,0.3280317173004151,12,2,3
8,0.6309212446212769,0.313024663925171,12,2,3
11,0.652520477771759,0.2654708251953125,12,2,3
12,0.6709534674882889,0.2515347890853882,12,2,3
4,0.5885799080133438,0.3577234249114989,13,2,4
6,0.6014758795499802,0.3152390155792235,13,2,4
8,0.6090260893106461,0.2955183887481689,13,2,4
11,0.6371754556894302,0.2588109674453734,13,2,4
12,0.6737891286611557,0.2631064291000366,13,2,4
4,0.7562706917524338,0.5083741302490234,14,2,5
6,0.7751896232366562,0.4861275386810302,14,2,5
8,0.7920127958059311,0.4588238544464111,14,2,5
11,0.8161966055631638,0.4228777542114258,14,2,5
12,0.820902481675148,0.3944012794494629,14,2,5
4,0.7420272529125214,0.4954297199249267,15,2,6
6,0.8377721160650253,0.5429914093017578,15,2,6
8,0.8591003865003586,0.5250263137817381,15,2,6
11,0.8957193493843079,0.496871971130371,15,2,6
12,0.9063892066478728,0.4821360111236572,15,2,6
4,0.7265766561031342,0.4815822772979736,16,2,7
6,0.7435571700334549,0.4555214443206786,16,2,7
8,0.8204171657562256,0.4891708469390868,16,2,7
11,0.8895047456026077,0.4872543277740478,16,2,7
12,0.902784898877144,0.4640341205596924,16,2,7
4,0.8207616209983826,0.5738626270294189,17,2,8
6,0.9114347547292708,0.6188261680603028,17,2,8
8,0.9516982287168504,0.6120175476074219,17,2,8
11,0.9689151048660278,0.5746524238586426,17,2,8
12,0.8863243758678436,0.4636228790283203,17,2,8
4,0.7761713266372681,0.5307418975830078,18,2,9
6,0.7877809256315231,0.4975865459442138,18,2,9
8,0.8122307658195496,0.4784555778503418,18,2,9
11,0.8091631084680557,0.4257954292297363,18,2,9
12,0.8028614073991776,0.3873654861450195,18,2,9
4,0.4475454837083816,0.2225886096954345,2,1,2
6,0.4472329616546631,0.1709299097061157,2,1,2
8,0.4681987166404724,0.144880500793457,2,1,2
11,0.488878458738327,0.1005895233154296,2,1,2
12,0.5070568770170212,0.0855491461753845,2,1,2
4,0.7207164168357849,0.4784664859771729,22,2,4
6,0.7352511584758759,0.4569117450714111,22,2,4
8,0.7384396493434906,0.4117293777465819,22,2,4
11,0.8119430392980576,0.4074284038543701,22,2,4
12,0.8066950738430023,0.3783066463470458,22,2,4
4,0.639732763171196,0.3977930374145507,23,2,5
6,0.7079387307167053,0.4086689090728761,23,2,5
8,0.8101295232772827,0.4698399257659912,23,2,5
11,0.8324064910411835,0.4223531455993652,23,2,5
12,0.8452759236097336,0.403174768447876,23,2,5
4,0.7867350876331329,0.5362219696044922,24,2,6
6,0.7177992016077042,0.4254843616485596,24,2,6
8,0.7148081362247467,0.3845105171203613,24,2,6
11,0.752270832657814,0.3574137954711914,24,2,6
12,0.8130047917366028,0.3788192100524902,24,2,6
4,0.8239781558513641,0.5743818397521973,25,2,7
6,0.8196406662464142,0.5230998802185058,25,2,7
8,0.8249292820692062,0.4889637985229492,25,2,7
11,0.8501680344343185,0.4524767208099365,25,2,7
12,0.8634694218635559,0.4338435726165771,25,2,7
4,0.6966604590415955,0.4555225067138672,26,2,8
6,0.715275302529335,0.4325524234771729,26,2,8
8,0.7383967339992523,0.4192739372253418,26,2,8
11,0.7601395547389984,0.3740441284179687,26,2,8
12,0.7687542587518692,0.3534618568420409,26,2,8
4,0.9200814068317412,0.6698372573852539,27,2,9
6,0.9319332540035248,0.6297366142272949,27,2,9
8,0.9545196145772934,0.6011405296325683,27,2,9
11,0.9032734930515288,0.4981765346527099,27,2,9
12,0.8841756284236908,0.4483895893096924,27,2,9
4,0.8452847748994827,0.6062005310058594,28,2,10
