local_bsz,num_nodes,num_replicas,step_time,sync_time
8,5,13,0.16517303236628433,0.031069576304478874
11,5,13,0.17629214982574265,0.030877317445529018
12,5,13,0.18000173467573438,0.030816443522718034
4,5,17,0.15949465165806773,0.04047303068747318
6,5,17,0.16685420606935797,0.04029166755315797
8,5,17,0.1742235106665118,0.04012005460470633
11,5,17,0.1852936860437106,0.03987885366349697
12,5,17,0.18898766356705374,0.03980237241403739
4,5,21,0.16873821616589227,0.049716595195297725
6,5,21,0.17606319612357918,0.04950065760737918
8,5,21,0.1833994520721831,0.04929599601037765
11,5,21,0.1944226530838204,0.049007820703606764
12,5,21,0.19810161216199165,0.048916321008975305
4,5,25,0.1780775667574294,0.059055945786834846
6,5,25,0.1853695937621327,0.05880705524593269
8,5,25,0.19267426292576645,0.05857080686396099
11,5,25,0.20365242546293974,0.05823759308272611
12,5,25,0.20731695110791074,0.05813165995489439
4,5,29,0.18749441275659165,0.0684727917859971
6,5,29,0.19475501899447728,0.06819248047827728
8,5,29,0.20202949370443032,0.06792603764262486
11,5,29,0.21296447896137596,0.06754964658116233
12,5,29,0.21661513780050035,0.067429846647484
4,5,33,0.19697546161725912,0.07795384064666458
6,5,33,0.204206081927622,0.07764354341142199
8,5,33,0.211451674652081,0.07734821859027555
11,5,33,0.22234525069446148,0.07693041831424785
12,5,33,0.22598258427972204,0.07679729312670569
4,5,37,0.2065106855493323,0.08748906457873776
6,5,37,0.2137126576447205,0.0871501191285205
8,5,37,0.220930598920212,0.08682714285840654
11,5,37,0.2317844344417112,0.08636960206149757
12,5,37,0.2354089565341757,0.08622366538115936
4,6,6,0.13484645451916108,0.015824833548566536
6,6,6,0.1423096843691923,0.015747145852992306
8,6,6,0.1497774734010315,0.01567401733922605
11,6,6,0.16098666027902295,0.015571827898809315
12,6,6,0.16472485377721094,0.015539562624194592
4,6,10,0.14363659545649557,0.024614974485901026
6,6,10,0.15106071377047997,0.02449817525427997
8,6,10,0.1584914631603217,0.02438800709851624
11,6,10,0.16964854638479138,0.024233714004577744
12,6,10,0.17337020876068543,0.024184917607669082
4,6,14,0.15264031202982592,0.033618691059231376
6,6,14,0.1600269015624803,0.03346436304628031
8,6,14,0.16742197922640545,0.03331852316459999
11,6,14,0.17852867776450088,0.033113845384287244
12,6,14,0.18223430629017423,0.03304901513715788
4,6,18,0.1617952984310525,0.04277367746045796
6,6,18,0.16914605303683983,0.042583514520639826
8,6,18,0.1765069554047725,0.04240349934296703
11,6,18,0.18756520288121853,0.0421503705010049
12,6,18,0.1912553703786263,0.04207007922560996
4,6,22,0.17106489643339434,0.0520432754627998
6,6,22,0.17838148937096449,0.051818950854764484
8,6,22,0.18570971399742844,0.051606257935622984
11,6,22,0.19672147633565368,0.051306643955440046
12,6,22,0.20039677276029838,0.05121148160728203
4,6,26,0.1804251009506947,0.06140347998010015
6,6,26,0.1877091328716025,0.06114659435540251
8,6,26,0.1950061259178661,0.06090266985606063
11,6,26,0.2059733230932975,0.06055849071308386
12,6,26,0.20963432982028235,0.060449038667266
4,6,30,0.1898590938229351,0.07083747285234054
6,6,30,0.19711207290097152,0.07054953438477152
8,6,30,0.20437920727739783,0.07027575121559237
11,6,30,0.21530367831252467,0.06988884593231104
12,6,30,0.21895095612770873,0.06976566497469239
4,6,34,0.19935452518669658,0.08033290421610204
6,6,34,0.2065778617550683,0.08001532323886829
8,6,34,0.2138164294309897,0.07971297336918423
11,6,34,0.2246999178163375,0.07928508543612386
12,6,34,0.22833400147340357,0.07914871032038723
4,6,38,0.2089020050765807,0.08988038410598614
6,6,38,0.2160970131147271,0.08953447459852709
8,6,38,0.22330822435661338,0.08920476829480792
11,6,38,0.23415237378681586,0.08873754140660223
12,6,38,0.23777376994796948,0.08858847879495313
4,6,42,0.21849419888655072,0.09947257791595618
6,6,42,0.2256621007093615,0.09909956219316149
8,6,42,0.23284708674564583,0.09874363068384037
11,6,42,0.24365344220896956,0.09823860982875593
12,6,42,0.2472626291933303,0.09807733804031396
4,6,46,0.22812525239623238,0.10910363142563784
6,6,46,0.2352671847122891,0.1087046461960891
8,6,46,0.24242700202676123,0.10832354596495578
11,6,46,0.25319701364938635,0.10778218126917272
12,6,46,0.25679444215322633,0.10760915100020998
4,7,7,0.13701881562964122,0.017997194659046672
6,7,7,0.14447213503656753,0.017909596520367527
8,7,7,0.15193055221227744,0.017827096150471983
11,7,7,0.16312657681186113,0.017711744431647497
12,7,7,0.16686059917664398,0.01767530802362763
4,7,11,0.14587058211620807,0.026848961145613526
6,7,11,0.1532851619772347,0.02672262346103471
8,7,11,0.1607068567959103,0.026603400734104832
11,7,11,0.1718511695323143,0.02643633715210067
12,7,11,0.17556877235638552,0.02638348120336917
4,7,15,0.15491660458089795,0.03589498361030341
6,7,15,0.16229407601776447,0.035731537501564464
8,7,15,0.16968046817119634,0.035577012109390876
11,7,15,0.18077486943160898,0.03536003705139534
12,7,15,0.18447657768890838,0.03529128653589203
4,7,19,0.16410305051741403,0.045081429546819485
6,7,19,0.17144511012558344,0.04488257160938344
